Date,Confirmed
2020/1/22,1
2020/1/23,1
2020/1/24,2
2020/1/25,2
2020/1/26,5
2020/1/27,5
2020/1/28,5
2020/1/29,6
2020/1/30,6
2020/1/31,8
2020/2/1,8
2020/2/2,8
2020/2/3,11
2020/2/4,11
2020/2/5,11
2020/2/6,12
2020/2/7,12
2020/2/8,12
2020/2/9,12
2020/2/10,12
2020/2/11,13
2020/2/12,13
2020/2/13,14
2020/2/14,14
2020/2/15,14
2020/2/16,14
2020/2/17,14
2020/2/18,14
2020/2/19,14
2020/2/20,14
2020/2/21,16
2020/2/22,16
2020/2/23,16
2020/2/24,16
2020/2/25,16
2020/2/26,16
2020/2/27,17
2020/2/28,17
2020/2/29,25
2020/3/1,32
2020/3/2,55
2020/3/3,74
2020/3/4,107
2020/3/5,184
2020/3/6,237
2020/3/7,403
2020/3/8,519
2020/3/9,594
2020/3/10,782
2020/3/11,1147
2020/3/12,1586
2020/3/13,2219
2020/3/14,2978
2020/3/15,3212
2020/3/16,4679
2020/3/17,6511
2020/3/18,9165
2020/3/19,13659
2020/3/20,20026
2020/3/21,26022
2020/3/22,34824
2020/3/23,46043
2020/3/24,56620
2020/3/25,68654
2020/3/26,86548
2020/3/27,105179
2020/3/28,124786
2020/3/29,143715
2020/3/30,165728
2020/3/31,192091
2020/4/1,217910
2020/4/2,248302
2020/4/3,280302
2020/4/4,313303
2020/4/5,341487
2020/4/6,371672
2020/4/7,403071
2020/4/8,435087
2020/4/9,469735
2020/4/10,503271
2020/4/11,532628
2020/4/12,559587
2020/4/13,585378
2020/4/14,613969
2020/4/15,643977
2020/4/16,675499
2020/4/17,708305
2020/4/18,736156
2020/4/19,761837
2020/4/20,790259
2020/4/21,816297
2020/4/22,845594
2020/4/23,879025
2020/4/24,912591
2020/4/25,944392
2020/4/26,971491
2020/4/27,994665
2020/4/28,1019339
2020/4/29,1047184
2020/4/30,1076689
2020/5/1,1110909
2020/5/2,1138911
2020/5/3,1163413
2020/5/4,1186815
2020/5/5,1211378
2020/5/6,1236525
2020/5/7,1264315
2020/5/8,1291197
2020/5/9,1316165
2020/5/10,1335021
2020/5/11,1354468
2020/5/12,1377226
2020/5/13,1398192
2020/5/14,1425500
2020/5/15,1450798
2020/5/16,1474811
2020/5/17,1492925
2020/5/18,1514937
2020/5/19,1535981
2020/5/20,1559486
2020/5/21,1585151
2020/5/22,1608589
2020/5/23,1629786
2020/5/24,1649900
2020/5/25,1668217
2020/5/26,1687741
2020/5/27,1706331
2020/5/28,1729279
2020/5/29,1753630
2020/5/30,1777473
2020/5/31,1796645
2020/6/1,1814009
2020/6/2,1835382
2020/6/3,1855359
2020/6/4,1877078
2020/6/5,1902245
2020/6/6,1924081
2020/6/7,1941868
2020/6/8,1959396
2020/6/9,1977765
2020/6/10,1998589
2020/6/11,2021786
2020/6/12,2046651
2020/6/13,2071911
2020/6/14,2091283
2020/6/15,2111207
2020/6/16,2135002
2020/6/17,2160906
2020/6/18,2189091
2020/6/19,2220401
2020/6/20,2252655
2020/6/21,2278761
2020/6/22,2309243
2020/6/23,2345008
2020/6/24,2379473
2020/6/25,2420009
2020/6/26,2465323
2020/6/27,2507672
2020/6/28,2547023
2020/6/29,2587708
2020/6/30,2633871
2020/7/1,2685191
2020/7/2,2740301
2020/7/3,2792849
2020/7/4,2838589
2020/7/5,2888566
2020/7/6,2933216
2020/7/7,2993372
2020/7/8,3052545
2020/7/9,3115816
2020/7/10,3183535
2020/7/11,3243686
2020/7/12,3302565
2020/7/13,3362035
2020/7/14,3428992
2020/7/15,3496615
2020/7/16,3573977
2020/7/17,3645987
2020/7/18,3708735
2020/7/19,3769990
2020/7/20,3831932
2020/7/21,3896363
2020/7/22,3967668
2020/7/23,4036741
2020/7/24,4109848
2020/7/25,4176302
2020/7/26,4231104
2020/7/27,4287684
2020/7/28,4353477
2020/7/29,4424779
2020/7/30,4492558
2020/7/31,4559711
2020/8/1,4617614
2020/8/2,4664943
2020/8/3,4709773
2020/8/4,4767233
2020/8/5,4820885
2020/8/6,4880525
2020/8/7,4938857
2020/8/8,4994547
2020/8/9,5040670
2020/8/10,5090430
2020/8/11,5137333
2020/8/12,5194337
2020/8/13,5246314
2020/8/14,5310915
2020/8/15,5358340
2020/8/16,5399753
2020/8/17,5435692
2020/8/18,5481046
2020/8/19,5528376
2020/8/20,5572457
2020/8/21,5620676
2020/8/22,5665086
2020/8/23,5699515
2020/8/24,5737369
2020/8/25,5775598
2020/8/26,5820689
2020/8/27,5866560
2020/8/28,5912756
2020/8/29,5958776
2020/8/30,5994130
2020/8/31,6028642
2020/9/1,6071171
2020/9/2,6111774
2020/9/3,6155692
2020/9/4,6205799
2020/9/5,6249850
2020/9/6,6280981
2020/9/7,6305037
2020/9/8,6331773
2020/9/9,6365325
2020/9/10,6401685
2020/9/11,6449207
2020/9/12,6490330
2020/9/13,6524954
2020/9/14,6558900
2020/9/15,6598091
2020/9/16,6636642
2020/9/17,6681372
2020/9/18,6730088
2020/9/19,6774138
2020/9/20,6810352
2020/9/21,6862816
2020/9/22,6901781
2020/9/23,6940214
2020/9/24,6984346
2020/9/25,7034931
2020/9/26,7079803
2020/9/27,7116225
2020/9/28,7149537
2020/9/29,7191637
2020/9/30,7233042
2020/10/1,7277791
2020/10/2,7332297
2020/10/3,7382341
2020/10/4,7417845
2020/10/5,7457402
2020/10/6,7499341
2020/10/7,7549682
